SKIDCURR,TARGET
100001,0.4423297382252199
100005,0.5700463477161728
100013,0.24022162204705996
100028,0.5852075294544427
100038,0.4561881743310059
100042,0.3757459106786845
100057,0.12212400249735421
100065,0.5817382642929684
100066,0.587764388092197
100067,0.5262292325876019
100074,0.2853742517736306
100090,0.30883801681547185
100091,0.3919209428967493
100092,0.649005108797874
100106,0.43222029044829025
100107,0.5286029936131665
100109,0.42598493434168233
100117,0.3900322156044308
100128,0.38312265051571387
100141,0.2794751254138282
100150,0.13500261985902146
100168,0.24029280417958818
100169,0.5549739792135795
100170,0.4536570358756549
100171,0.37863036168909897
100172,0.35099510599103206
100184,0.36405612318429076
100187,0.5953595280020842
100212,0.5894273116765171
100222,0.3106070800516357
100223,0.34063664468186056
100232,0.4404923627947972
100241,0.6484544606805105
100245,0.492545650294446
100253,0.3495795579807735
100256,0.5177828382284101
100271,0.3710304102023558
100278,0.5978931777892545
100280,0.44726423680169886
100306,0.44450368783174055
100311,0.684435686065696
100312,0.6242720456810552
100330,0.5451083154468731
100331,0.1892141789753291
100352,0.48818680764105704
100358,0.6066647641508971
100367,0.3802993831559238
100382,0.5782754789137674
100384,0.5732744445625791
100385,0.42380352883985867
100386,0.3555487254359816
100399,0.3694775966097639
100404,0.40164800955729335
100416,0.2920510215007018
100422,0.3166109915858478
100426,0.45406729560163944
100438,0.5183776374990705
100444,0.581703628223129
100445,0.40393714396005587
100446,0.7769643634239215
100447,0.4681590024199883
100450,0.3442439538738607
100466,0.14959033539087374
100483,0.3052982895299709
100484,0.34568124032718484
100494,0.4426605368916191
100510,0.5164611161424197
100512,0.5730756791424461
100517,0.42748985831079794
100548,0.3901992328939589
100551,0.6356796412602592
100552,0.4427425416149699
100553,0.3436804120225143
100561,0.629109506838024
100568,0.4383561102626117
100569,0.3434002376373686
100591,0.25041445515406213
100592,0.4594906088145049
100602,0.38559176650236293
100607,0.3459355661524405
100613,0.5165877346511146
100617,0.4884262569840228
100618,0.15043145861846077
100622,0.586953116613446
100625,0.433758101082704
100677,0.2656447368594823
100699,0.58243139741572
100702,0.6951374274930789
100711,0.6692453417295942
100729,0.3212431425316849
100740,0.36774910310354764
100744,0.5122100350548198
100745,0.5200574756675538
100747,0.5715866842594437
100751,0.7765631395299415
100752,0.4602479086438193
100753,0.5861949577197515
100754,0.38172965061589376
100760,0.21442345694825207
100762,0.4849762880406621
100763,0.3775574750581553
100765,0.5128709081062856
100770,0.5789914413128231
100772,0.21880369302822075
100777,0.5677215213884642
100791,0.4635668002565902
100792,0.3522410407261886
100797,0.41673694971914427
100823,0.4156830159329016
100826,0.425149790384418
100830,0.5154347376249366
100836,0.681837069745317
100872,0.43270811349446614
100910,0.5393498211970231
100913,0.4523304887165103
100918,0.4947526755077523
100931,0.48275323115416324
100952,0.22314825100701752
100953,0.506857261456107
100965,0.5505398986003612
100970,0.5121852331142859
100982,0.6447245092342228
100983,0.530197092318966
100984,0.5325987293166765
100987,0.2989996554279798
100997,0.693051375389261
100998,0.4330119291876122
101002,0.48683503483832963
101005,0.7813590343860914
101008,0.2992988171340597
101020,0.2648776567580749
101021,0.4798424925076593
101024,0.4931131127902072
101025,0.6628964155469935
101026,0.3888174945816245
101031,0.3446487176594658
101041,0.5794363498067899
101051,0.3991919361071597
101055,0.5197025125218065
101056,0.7202257727311033
101057,0.5449734556883901
101064,0.454482369781206
101079,0.40154750286666197
101087,0.6516680292264431
101090,0.386210548310085
101092,0.4669549111434948
101097,0.49153268514911247
101099,0.4297371920075748
101107,0.38223493001355163
101118,0.557473433209007
101125,0.43197226929029836
101126,0.11297037759216541
101128,0.2231966989782984
101136,0.7325253539134196
101140,0.3283481673802
101149,0.5250317052360973
101160,0.41576573015499063
101169,0.2636640950058588
101181,0.610237504867194
101186,0.5282414204528049
101190,0.6247017808815798
101193,0.3623896803561945
101194,0.6776959753287486
101198,0.5404938330878423
101200,0.3711065569588899
101204,0.2675031520708887
101211,0.40510179827780624
101213,0.4405037230001488
101223,0.48306290107951433
101225,0.3540318086013032
101237,0.5440931569461439
101243,0.6531937438193232
101244,0.50942464655506
101258,0.572416168768627
101259,0.5339375564202629
101268,0.5476711674186183
101269,0.5433533288479642
101271,0.6125921853559912
101279,0.5291918102589994
101281,0.7203279154421164
101287,0.32785632201041887
101292,0.37192291477296024
101294,0.6758958622904584
101296,0.4757356282770893
101297,0.4737960561960599
101299,0.24130342212201836
101301,0.4269876517319038
101305,0.38864131147296727
101308,0.6805798786393429
101318,0.23998993518852732
101327,0.7269304866187695
101329,0.1531993151841711
101332,0.37419435014679175
101337,0.6262111923385849
101343,0.4460741989237313
101345,0.258153437549582
101346,0.22999224801517965
101353,0.28838815854429994
101354,0.6070022000710174
101355,0.665091206833568
101356,0.43231389277106935
101362,0.5133334836229636
101363,0.5945211841227104
101365,0.12533410321243435
101366,0.4548765487113981
101367,0.5530164666390216
101368,0.47779521075090403
101374,0.23821465519834512
101380,0.4668711477547539
101383,0.48048411517589495
101398,0.3977400425281882
101399,0.7357988052257306
101401,0.5183596898753622
101412,0.586196190077971
101426,0.4690123125552944
101427,0.6721786141181066
101428,0.4003568359591977
101429,0.42056549156162343
101434,0.5340655134111971
101440,0.6205533697987757
101448,0.4249785339159166
101449,0.4714863538319367
101465,0.34916625616730923
101467,0.3121006421419437
101472,0.36743402343778486
101478,0.4450157273681591
101497,0.4097364132040716
101504,0.5085238072446637
101547,0.3481202297304565
101548,0.3688880102974622
101555,0.4411444901734506
101570,0.3478144612508752
101572,0.4814620214333223
101578,0.4971171844957501
101580,0.7437033995858783
101588,0.4314287003795944
101602,0.3180902643952888
101610,0.5069370553460522
101614,0.2505932363983574
101616,0.381301204341977
101643,0.3901089364234609
101644,0.37185532366205215
101649,0.6773933916586768
101650,0.3521417045518362
101665,0.41704531822866403
101667,0.5353823666018188
101669,0.4878911431970472
101674,0.45929494096425616
101675,0.3505880109874295
101678,0.6641174524699416
101682,0.5792330752099879
101686,0.5472217223244924
101697,0.3171980864343482
101700,0.6952011066449341
101711,0.505273866423872
101714,0.49439118688724576
101715,0.47692526715675426
101728,0.5460327809500953
101732,0.4886374782617127
101757,0.5533033048136695
101758,0.6137252717662199
101759,0.42548325892406025
101762,0.4251634430308354
101764,0.4289041321319097
101780,0.5531343179833781
101784,0.3673530567203941
101789,0.6430577798510843
